DEPARTAMENTO;MUNICIPIO;FA;PN;PC;PCONCERTACION;PI;PERI;AP;PT;EN BLANCO TOTAL;ANULADOS
MONTEVIDEO;A;21279;0;0;10661;494;533;711;44;5326;5306
MONTEVIDEO;B;13971;0;0;12763;480;608;609;0;4527;4114
MONTEVIDEO;C;16122;0;0;11638;515;635;555;0;4851;4662
MONTEVIDEO;CH;17636;0;0;27318;543;521;430;0;4287;3543
MONTEVIDEO;D;16222;0;0;12461;411;411;421;0;4732;4660
MONTEVIDEO;E;13470;0;0;18573;489;558;356;0;4028;3724
MONTEVIDEO;F;10666;0;0;9063;510;462;338;0;4500;4260
MONTEVIDEO;G;12965;0;0;10724;432;450;521;21;3994;3900
CANELONES;CIUDAD DE LA COSTA;14764;7880;1326;0;619;0;392;21;3866;3219
CANELONES;18 DE MAYO;2939;882;1021;0;0;0;25;0;550;421
CANELONES;LAS PIEDRAS;16955;7512;3186;0;322;0;215;5;3461;2405
CANELONES;PANDO;7497;4885;1737;0;385;0;109;0;2376;1415
CANELONES;LA PAZ;6223;1972;767;0;112;0;0;0;1234;824
CANELONES;CANELONES;5755;3340;1419;0;287;0;211;42;1825;1573
CANELONES;SANTA LUCIA;4688;2771;519;0;253;0;148;13;1117;864
CANELONES;PROGRESO;3883;1543;711;0;183;0;0;5;887;579
CANELONES;PASO CARRASCO;3563;1252;235;0;88;0;75;0;798;523
CANELONES;BARROS BLANCOS;7175;2710;1004;0;124;0;0;15;1560;1110
CANELONES;NICOLICH;2414;653;111;0;0;0;52;0;389;277
CANELONES;SAN RAMON;980;2091;1743;0;0;0;0;0;409;188
CANELONES;SALINAS;3513;2030;470;0;152;0;97;0;734;630
CANELONES;JOAQUIN SUAREZ;2970;1503;748;0;73;0;58;0;529;395
CANELONES;PARQUE DEL PLATA;1750;1105;578;0;67;0;47;0;362;268
CANELONES;SAUCE;3145;2432;764;0;58;0;95;0;506;391
CANELONES;TALA;1230;2777;1983;0;135;0;17;0;416;148
CANELONES;ATLANTIDA;2152;1692;482;0;531;0;26;0;647;376
CANELONES;TOLEDO;3915;1654;1959;0;97;0;45;0;772;523
CANELONES;EMPALME OLMOS;1816;815;961;0;50;0;0;0;356;205
CANELONES;SAN JACINTO;1789;2093;577;0;54;0;0;0;415;210
CANELONES;SANTA ROSA;1350;931;871;0;52;0;0;0;277;173
CANELONES;LA FLORESTA;1445;1218;450;0;0;0;28;0;344;298
CANELONES;MIGUES;998;1497;143;0;23;0;0;0;240;72
CANELONES;LOS CERRILLOS;1180;1917;543;0;0;0;0;0;490;246
CANELONES;SAN BAUTISTA;655;494;1487;0;28;0;0;0;124;65
CANELONES;SOCA;466;642;610;0;0;0;0;0;113;72
CANELONES;MONTES;509;515;138;0;0;0;0;0;62;32
CANELONES;SAN ANTONIO;821;988;200;0;0;0;0;0;152;61
CANELONES;AGUAS CORRIENTES;257;396;195;0;0;0;26;0;54;41
MALDONADO;MALDONADO;16422;19962;2471;0;460;0;117;0;1745;1927
MALDONADO;SAN CARLOS;7871;7252;1005;0;104;0;290;0;652;726
MALDONADO;PIRIAPOLIS;3263;2525;789;0;44;0;25;0;257;198
MALDONADO;PUNTA DEL ESTE;1221;3240;212;0;52;0;0;0;165;176
MALDONADO;PAN DE AZUCAR;2177;2561;689;0;34;0;6;0;214;156
MALDONADO;AIGUA;613;1285;356;0;0;0;0;0;54;35
MALDONADO;SOLIS GRANDE;625;1165;71;0;9;0;0;0;43;42
MALDONADO;GARZON;61;402;21;0;0;0;0;0;6;6
ROCHA;CHUY;4252;2211;226;0;76;0;77;0;286;309
ROCHA;CASTILLOS;2503;2963;234;0;0;0;51;0;311;207
ROCHA;LASCANO;2598;1852;289;0;56;0;44;0;213;122
ROCHA;LA PALOMA;1704;1042;0;0;173;0;59;0;114;132
TREINTA Y TRES;VERGARA;996;1839;45;0;0;0;4;0;53;46
TREINTA Y TRES;SANTA CLARA DE OLIMAR;261;1373;96;0;0;0;0;0;25;18
CERRO LARGO;RIO BRANCO;2875;7245;181;0;0;0;0;0;326;130
CERRO LARGO;FRAILE MUERTO;962;1572;62;0;0;0;0;0;56;32
CERRO LARGO;ISIDORO NOBLIA;523;1377;31;0;0;0;0;0;28;17
CERRO LARGO;ACEGUA;270;842;31;0;0;0;0;0;13;30
CERRO LARGO;TUPAMBAE;260;546;60;0;0;0;0;0;23;4
CERRO LARGO;PLACIDO ROSAS;178;204;0;0;0;0;0;0;5;3
CERRO LARGO;AREVALO;42;201;0;0;0;0;0;0;5;4
CERRO LARGO;ARBOLITO;44;158;0;0;0;0;0;0;1;0
CERRO LARGO;RAMON TRIGO;47;112;0;0;0;0;0;0;3;0
RIVERA;TRANQUERAS;579;1431;2853;0;0;0;0;0;204;96
RIVERA;VICHADERO;309;1901;464;0;0;0;0;0;73;44
RIVERA;MINAS DE CORRALES;585;731;1026;0;0;0;0;0;91;43
ARTIGAS;BELLA UNION;6147;3629;802;0;0;0;0;0;392;258
ARTIGAS;TOMAS GOMENSORO;775;1019;130;0;0;0;0;0;52;29
ARTIGAS;BALTASAR BRUM;403;657;595;0;0;0;0;0;33;24
SALTO;VILLA CONSTITUCION;1464;135;702;0;0;0;0;0;57;36
SALTO;PUEBLO BELEN;741;481;327;0;0;0;0;0;25;17
SALTO;RINCON DE VALENTIN;329;30;422;0;0;0;0;0;39;4
SALTO;LAVALLEJA;747;251;607;0;0;0;0;0;71;19
SALTO;PUEBLO SAN ANTONIO;621;68;795;0;0;0;0;0;24;26
SALTO;MATAOJO;213;119;373;0;0;0;0;0;11;10
PAYSANDU;GUICHON;1150;2076;1336;0;0;0;0;0;112;95
PAYSANDU;QUEBRACHO;466;1406;392;0;0;0;0;0;44;27
PAYSANDU;PORVENIR;517;1365;43;0;0;0;0;0;105;80
PAYSANDU;PIEDRAS COLORADAS;269;397;458;0;0;0;0;0;25;18
PAYSANDU;LORENZO GEYRES;206;399;228;0;0;0;0;0;39;19
PAYSANDU;TAMBORES;193;515;0;0;0;0;0;0;24;5
PAYSANDU;CHAPICUY;135;334;68;0;0;0;0;0;14;6
RIO NEGRO;YOUNG;3700;5123;1238;0;101;0;0;0;370;304
RIO NEGRO;NUEVO BERLIN;467;975;248;0;3;0;0;0;43;33
RIO NEGRO;SAN JAVIER;406;823;241;0;0;0;0;0;44;35
SORIANO;DOLORES;2781;7355;865;0;0;0;51;0;452;343
SORIANO;CARDONA;1652;2155;668;0;0;0;0;0;130;99
SORIANO;JOSE ENRIQUE RODO;339;1135;114;0;0;0;0;0;40;26
SORIANO;PALMITAS;285;1002;114;0;0;0;0;0;42;48
COLONIA;CARMELO;4203;5919;297;0;0;0;53;0;424;398
COLONIA;JUAN LACAZE;4555;2840;111;0;0;0;0;0;301;245
COLONIA;NUEVA HELVECIA;1996;4193;122;0;0;0;0;0;281;214
COLONIA;ROSARIO;2529;3893;277;0;0;0;0;0;273;222
COLONIA;NUEVA PALMIRA;1958;3686;142;0;0;0;17;0;300;198
COLONIA;TARARIRAS;1009;3759;93;0;0;0;21;0;161;132
COLONIA;OMBUES DE LAVALLE;883;1740;189;0;0;0;0;0;100;80
COLONIA;COLONIA VALDENSE;625;1436;200;0;0;0;0;0;80;72
COLONIA;FLORENCIO SANCHEZ;371;1069;70;0;0;0;0;0;35;22
SAN JOSE;CIUDAD DEL PLATA;5563;4995;93;0;107;0;74;0;942;670
SAN JOSE;LIBERTAD;1328;5260;114;0;48;0;91;0;455;269
SAN JOSE;RODRIGUEZ;506;2420;0;0;18;0;0;0;125;110
SAN JOSE;ECILDA PAULLIER;426;2503;76;0;84;0;0;0;95;56
FLORES;ISMAEL CORTINAS;230;528;38;0;0;0;0;0;7;14
FLORIDA;SARANDI GRANDE;954;2763;592;0;83;0;0;0;167;102
FLORIDA;CASUPA;296;1578;120;0;0;0;0;0;47;43
FLORIDA;FRAY BENTOS;415;1106;436;0;42;0;0;0;61;27
DURAZNO;SARANDI DEL YI;878;3760;98;0;50;0;154;0;144;98
DURAZNO;VILLA CARMEN;129;1463;138;0;4;0;;0;53;33
LAVALLEJA;JOSE PEDRO VARELA;1223;1840;352;0;0;0;0;0;146;85
LAVALLEJA;SOLIS DE MATAOJO;684;1286;173;0;0;0;0;0;97;55
LAVALLEJA;JOSE BATLLE Y ORDONEZ;361;1287;114;0;0;0;0;0;52;36
LAVALLEJA;PASO DE LOS TOROS;3794;4678;438;0;0;0;19;0;394;205
LAVALLEJA;SAN GREGORIO DE POLANCO;322;2108;169;0;0;0;4;0;57;29
LAVALLEJA;ANSINA;316;1461;209;0;0;0;0;0;51;24